readId,taxonId,minimizKmersHitsTaxon|totMinimizKmers
@bares>MEG_66|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,965,138|255
@bares>MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.05,976,130|225
@bares>MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,7,112|244
@bares>MEG_302|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.05,13,17|224
@bares>MEG_299|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$2pointsRearrangement$NA,25,21|204
@bares>MEG_333|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.01,13,4|279
@bares>MEG_316|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.05,10,123|241
@bares>MEG_320|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.01,13,31|225
@bares>MEG_301|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.05,13,10|223
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_370|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAQ$2pointsRearrangement$NA,1125,246|254
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_372|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM$errorrate$0.01,34,183|243
@bares>MEG_369|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAF$errorrate$0.01,1124,187|226
@bares>MEG_384|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.01,36,48|263
@bares>MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.01,10,186|240
@bares>MEG_382|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.01,36,42|230
@bares>MEG_383|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.05,36,24|240
@bares>MEG_373|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM$errorrate$0.01,34,198|218
@bares>MEG_381|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|ABUO$errorrate$0.05,1132,129|225
@bares>MEG_371|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|ABCA$errorrate$0.05,1126,91|202
@bares>MEG_385|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.05,1133,37|210
@bares>MEG_394|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.05,37,21|268
@bares>MEG_395|Drugs|betalactams|Class_A_betalactamases|ACI$errorrate$0.05,1136,124|244
@bares>MEG_396|Metals|Iron_resistance|Iron_resistance_protein|ACN$errorrate$0.05,1137,117|202
@bares>MEG_387|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.05,36,21|247
@bares>MEG_390|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.05,1133,21|230
@bares>MEG_391|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.01,1135,172|231
@bares>MEG_393|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.01,37,44|268
@bares>MEG_389|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.05,36,22|247
@bares>MEG_392|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.01,36,36|237
@bares>MEG_388|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.05,36,21|228
@bares>MEG_386|Drugs|betalactams|Class_C_betalactamases|ACC$errorrate$0.01,36,39|231
@bares>MEG_403|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRC$errorrate$0.05,1143,65|201
@bares>MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB$errorrate$0.05,1142,99|223
@bares>MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA$errorrate$0.01,1139,194|232
@bares>MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA$errorrate$0.05,1140,96|201
@bares>MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB$errorrate$0.05,1141,111|219
@bares>MEG_404|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD$errorrate$0.05,1144,105|214
@bares>MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD$errorrate$0.05,38,85|229
@bares>MEG_398|Metals|Arsenic_resistance|Arsenic_resistance_membrane_transporter|ACR3$errorrate$0.01,1138,192|220
@bares>MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD$errorrate$0.05,38,98|220
@bares>MEG_419|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1154,24|214
@bares>MEG_416|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1151,9|229
@bares>MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF$2pointsRearrangement$NA,39,236|256
@bares>MEG_423|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,897,5|239
@bares>MEG_418|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1153,63|263
@bares>MEG_420|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1155,76|193
@bares>MEG_421|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1156,15|221
@bares>MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD$errorrate$0.01,38,151|189
@bares>MEG_422|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,897,5|233
@bares>MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF$errorrate$0.05,39,151|294
@bares>MEG_425|Drugs|betalactams|Class_C_betalactamases|ACT$2pointsRearrangement$NA,40,10|268
@bares>MEG_424|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,40,8|223
@bares>MEG_426|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,41,2|222
@bares>MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE$errorrate$0.01,1145,202|232
@bares>MEG_433|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,42,3|220
@bares>MEG_431|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,42,10|235
@bares>MEG_430|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,42,9|235
@bares>MEG_429|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,42,5|250
@bares>MEG_432|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,42,3|204
@bares>MEG_434|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,41,20|220
@bares>MEG_427|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,41,10|239
@bares>MEG_428|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,41,24|238
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_417|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1152,4|250
@bares>MEG_435|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1157,14|217
@bares>MEG_436|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,46,10|197
@bares>MEG_437|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,46,8|220
@bares>MEG_438|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,43,11|238
@bares>MEG_439|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,3755,7|224
@bares>MEG_440|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1158,28|223
@bares>MEG_441|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1159,73|279
@bares>MEG_449|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,42,8|250
@bares>MEG_453|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1164,11|193
@bares>MEG_445|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,45,60|265
@bares>MEG_447|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1162,23|247
@bares>MEG_448|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1163,90|243
@bares>MEG_457|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1166,13|198
@bares>MEG_451|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,44,17|256
@bares>MEG_452|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,45,40|203
@bares>MEG_454|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1163,3|202
@bares>MEG_444|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,45,11|210
@bares>MEG_462|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,46,6|211
@bares>MEG_456|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1167,3|217
@bares>MEG_450|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,44,8|254
@bares>MEG_458|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1167,9|247
@bares>MEG_459|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,43,10|227
@bares>MEG_460|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,46,29|245
@bares>MEG_446|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1161,4|219
@bares>MEG_455|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,46,15|217
@bares>MEG_463|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,42,5|221
@bares>MEG_442|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,2514,7|226
@bares>MEG_467|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,43,15|256
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_464|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,46,23|230
@bares>MEG_470|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,48,2|191
@bares>MEG_468|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,47,39|241
@bares>MEG_474|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,42,7|233
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_466|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,47,30|193
@bares>MEG_472|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,40,6|228
@bares>MEG_469|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,48,9|230
@bares>MEG_465|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,42,2|197
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_477|Drugs|betalactams|Class_C_betalactamases|ACT$2pointsRearrangement$NA,46,10|173
@bares>MEG_480|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,42,4|233
@bares>MEG_479|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1170,12|202
@bares>MEG_473|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1168,11|202
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_478|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,1169,36|207
@bares>MEG_482|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,40,13|276
@bares>MEG_483|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,44,12|229
@bares>MEG_485|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,43,9|249
@bares>MEG_486|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,46,27|204
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_489|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,46,7|238
@bares>MEG_491|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,1167,7|230
@bares>MEG_484|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,47,5|184
@bares>MEG_488|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,48,9|243
@bares>MEG_494|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,46,4|281
@bares>MEG_492|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,40,7|204
@bares>MEG_493|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,47,36|205
@bares>MEG_487|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,40,16|221
@bares>MEG_490|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.05,48,2|192
@bares>MEG_499|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTA$errorrate$0.01,50,164|203
@bares>MEG_496|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,46,11|226
@bares>MEG_500|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP$errorrate$0.01,51,166|195
@bares>MEG_501|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP$2pointsRearrangement$NA,51,217|224
@bares>MEG_498|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTA$errorrate$0.01,50,207|229
@bares>MEG_495|Drugs|betalactams|Class_C_betalactamases|ACT$errorrate$0.01,47,63|203
@bares>MEG_503|Metals|Copper_resistance|Copper_resistance_protein|ACTPC$errorrate$0.05,1173,89|180
@bares>MEG_506|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,52,6|235
@bares>MEG_505|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_regulator|ACTS$errorrate$0.01,1175,204|232
@bares>MEG_502|Metals|Tellurium_resistance|Tellurium_resistance_protein|ACTP1$errorrate$0.05,1172,142|263
@bares>MEG_509|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1209,3|275
@bares>MEG_508|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1177,4|219
@bares>MEG_510|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1224,7|218
@bares>MEG_507|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1176,37|260
@bares>MEG_512|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1180,3|233
@bares>MEG_513|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,52,1|226
@bares>MEG_515|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,899,6|230
@bares>MEG_514|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|253
@bares>MEG_511|Drugs|betalactams|Class_C_betalactamases|ADC$2pointsRearrangement$NA,59,2|260
@bares>MEG_518|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1181,29|241
@bares>MEG_517|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1180,45|252
@bares>MEG_519|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1182,34|234
@bares>MEG_520|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1183,42|204
@bares>MEG_516|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1179,16|244
@bares>MEG_521|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1235,7|253
@bares>MEG_523|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1185,9|253
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_522|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1184,16|276
@bares>MEG_524|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1186,9|230
@bares>MEG_526|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1200,1|211
@bares>MEG_528|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,67,4|244
@bares>MEG_531|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,54,23|225
@bares>MEG_530|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1190,42|248
@bares>MEG_533|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,54,3|227
@bares>MEG_525|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1187,6|218
@bares>MEG_535|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1192,4|224
@bares>MEG_534|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1227,7|235
@bares>MEG_527|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,67,3|208
@bares>MEG_537|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,55,10|232
@bares>MEG_529|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1189,51|227
@bares>MEG_538|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|222
@bares>MEG_539|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1194,5|268
@bares>MEG_540|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,54,2|266
@bares>MEG_541|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,57,4|259
@bares>MEG_542|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,54,2|210
@bares>MEG_543|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1197,3|249
@bares>MEG_544|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1193,2|234
@bares>MEG_545|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,61,1|254
@bares>MEG_546|Drugs|betalactams|Class_C_betalactamases|ADC$2pointsRearrangement$NA,1200,1|156
@bares>MEG_552|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,58,23|261
@bares>MEG_547|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,56,7|250
@bares>MEG_555|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1209,5|284
@bares>MEG_548|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,56,5|242
@bares>MEG_549|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,3766,2|222
@randoSequence$randomSequence$NA,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_554|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|275
@bares>MEG_557|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,57,11|215
@bares>MEG_561|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,64,5|235
@bares>MEG_550|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,899,1|243
@bares>MEG_558|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,57,4|247
@bares>MEG_559|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1200,1|205
@bares>MEG_566|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,57,7|238
@bares>MEG_556|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,64,5|245
@bares>MEG_565|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,3761,3|219
@bares>MEG_563|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1233,1|235
@bares>MEG_564|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|249
@bares>MEG_568|Drugs|betalactams|Class_C_betalactamases|ADC$2pointsRearrangement$NA,65,2|220
@bares>MEG_567|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,55,1|218
@bares>MEG_570|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|210
@bares>MEG_569|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,57,4|296
@bares>MEG_571|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1227,2|272
@bares>MEG_572|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|262
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_573|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,57,4|214
@bares>MEG_560|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,3763,4|227
@bares>MEG_574|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|221
@bares>MEG_584|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,54,4|259
@bares>MEG_576|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,57,6|211
@bares>MEG_578|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,57,4|256
@bares>MEG_588|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1177,2|241
@bares>MEG_562|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,61,7|263
@bares>MEG_581|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,65,5|211
@bares>MEG_582|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1209,2|269
@bares>MEG_580|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,65,3|217
@bares>MEG_586|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,54,7|253
@bares>MEG_590|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.05,1200,1|225
@bares>MEG_587|Drugs|betalactams|Class_C_betalactamases|ADC$errorrate$0.01,1200,1|232
