taxon_id,taxon_name,genome_coverage,read_depth
11,>MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_85|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_138|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_141|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_143|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_324|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,1|101,1
13,>MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_148|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_218|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_220|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_222|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_224|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_225|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_226|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_227|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_228|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_229|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_230|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_231|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_232|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_233|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_236|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_237|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_239|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_242|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_275|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_293|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_300|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_301|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_302|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_308|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_311|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_314|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_315|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_320|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_331|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_333|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_335|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_343|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_345|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_346|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_347|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_349|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_350|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_351|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_353|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_356|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_357|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_358|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_360|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_361|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_363|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_365|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_366|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_367|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_761|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME;>MEG_1607|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation;>MEG_5148|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_7876|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,63|833,5
25,>MEG_219|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_235|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_299|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_339|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_340|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,26|46,2
34,>MEG_359|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_372|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM;>MEG_373|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM,262|532,2
36,>MEG_382|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_383|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_384|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_386|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_388|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_389|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_392|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_7882|Drugs|betalactams|Class_C_betalactamases|ACC,87|132,8
37,>MEG_387|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_393|Drugs|betalactams|Class_C_betalactamases|ACC;>MEG_394|Drugs|betalactams|Class_C_betalactamases|ACC,53|93,2
38,>MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD;>MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD;>MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,336|1140,4
39,>MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF;>MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,370|1109,2
40,>MEG_422|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_423|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_424|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_425|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_426|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_454|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_461|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_465|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_472|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_475|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_480|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_482|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_487|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_491|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_492|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_7889|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_7892|Drugs|betalactams|Class_C_betalactamases|ACT,46|100,6
41,>MEG_427|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_428|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_434|Drugs|betalactams|Class_C_betalactamases|ACT,45|75,5
42,>MEG_429|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_430|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_431|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_432|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_433|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_449|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_463|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_471|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_484|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_490|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_7888|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_7890|Drugs|betalactams|Class_C_betalactamases|ACT,30|69,10
43,>MEG_436|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_437|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_438|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_459|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_462|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_467|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_470|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_477|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_489|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_494|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_496|Drugs|betalactams|Class_C_betalactamases|ACT,26|58,4
44,>MEG_439|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_443|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_450|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_451|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_481|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_483|Drugs|betalactams|Class_C_betalactamases|ACT,35|97,3
45,>MEG_444|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_445|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_452|Drugs|betalactams|Class_C_betalactamases|ACT,74|112,3
46,>MEG_455|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_460|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_464|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_486|Drugs|betalactams|Class_C_betalactamases|ACT,79|157,11
47,>MEG_466|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_468|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_493|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_495|Drugs|betalactams|Class_C_betalactamases|ACT,133|205,6
48,>MEG_469|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_474|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_488|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_7893|Drugs|betalactams|Class_C_betalactamases|ACT;>MEG_7903|Drugs|betalactams|Class_C_betalactamases|ACT,15|92,4
50,>MEG_498|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTA;>MEG_499|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTA,368|596,2
51,>MEG_500|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP;>MEG_501|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP,377|899,2
52,>MEG_506|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_509|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_510|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_511|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_512|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_513|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_515|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_536|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_672|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7909|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7914|Drugs|betalactams|Class_C_betalactamases|ADC,7|30,2
54,>MEG_531|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_532|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_533|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_635|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7956|Drugs|betalactams|Class_C_betalactamases|ADC,33|86,12
55,>MEG_537|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_540|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_676|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7954|Drugs|betalactams|Class_C_betalactamases|ADC,11|18,2
56,>MEG_547|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_548|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_549|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7924|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7925|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7941|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7947|Drugs|betalactams|Class_C_betalactamases|ADC,7|34,2
57,>MEG_550|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_551|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_557|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_558|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_560|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_561|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_562|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_563|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_564|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_565|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_566|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_567|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_568|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_569|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_570|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_571|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_572|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_573|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_576|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_577|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_578|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_579|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_585|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_589|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_619|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_620|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_630|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_647|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_649|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_656|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_657|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_658|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_660|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_661|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_662|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_663|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_664|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_666|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_668|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_671|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7907|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7908|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7910|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7922|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7923|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7927|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7929|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7930|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7934|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7935|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7936|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7937|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7939|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7940|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7942|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7943|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7944|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7961|Drugs|betalactams|Class_C_betalactamases|ADC,59|244,14
58,>MEG_552|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_574|Drugs|betalactams|Class_C_betalactamases|ADC,23|35,1
59,>MEG_575|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_580|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_581|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_582|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_583|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_584|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_629|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_650|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_655|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_667|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_674|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_726|Drugs|betalactams|Class_C_betalactamases|AMPC;>MEG_7951|Drugs|betalactams|Class_C_betalactamases|ADC,18|35,7
60,>MEG_591|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_592|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_593|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_594|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_631|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7945|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7946|Drugs|betalactams|Class_C_betalactamases|ADC,21|45,2
61,>MEG_599|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_600|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_622|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7959|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7960|Drugs|betalactams|Class_C_betalactamases|ADC,9|29,4
62,>MEG_603|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_605|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_652|Drugs|betalactams|Class_C_betalactamases|ADC,16|31,3
63,>MEG_606|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_607|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_608|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_609|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_610|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7967|Drugs|betalactams|Class_C_betalactamases|ADC,7|38,2
64,>MEG_611|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_612|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_613|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_615|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_669|Drugs|betalactams|Class_C_betalactamases|ADC,16|19,5
65,>MEG_614|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_616|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_644|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_670|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7921|Drugs|betalactams|Class_C_betalactamases|ADC,12|22,7
66,>MEG_618|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_628|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_645|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_651|Drugs|betalactams|Class_C_betalactamases|ADC,32|46,4
67,>MEG_637|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_638|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_7920|Drugs|betalactams|Class_C_betalactamases|ADC,34|88,4
68,>MEG_640|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_641|Drugs|betalactams|Class_C_betalactamases|ADC,14|41,2
69,>MEG_648|Drugs|betalactams|Class_C_betalactamases|ADC;>MEG_673|Drugs|betalactams|Class_C_betalactamases|ADC,8|25,1
70,>MEG_686|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI;>MEG_687|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI;>MEG_688|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI;>MEG_689|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI;>MEG_690|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI;>MEG_691|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,404|518,6
71,>MEG_707|Drugs|betalactams|Class_A_betalactamases|AER;>MEG_708|Drugs|betalactams|Class_A_betalactamases|AER,177|343,1
